DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.019 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.019 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.001 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.007 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.007 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.002 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.001 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:52:19Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:52:34Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.001 seconds
DEBUG | 2023-11-26T22:52:34Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:52:34Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0 seconds
DEBUG | 2023-11-26T22:52:34Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:52:34Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0 seconds
DEBUG | 2023-11-26T22:52:34Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
